variavel,codigo,rotulo
d3,888,não quis informar
r133b,1,sim
r133b,2,não
r133b,777,não sabe
r133b,888,não quis informar
r134b,1,unidade de saude do SUS
r134b,2,"Programa ""farmácia popular"""
r134b,3,"outro lugar (farmácia privada/particular, drogaria)"
r134b,777,não sabe
r134b,888,não quis responder
r134,1,unidade de saude do SUS
r134,2,"Programa ""farmácia popular"""
r134,3,"outro lugar (farmácia privada/particular, drogaria)"
r134,777,não sabe
r134,888,não quis responder
r134a,1,unidade de saude do SUS
r134a,2,"Programa ""farmácia popular"" do governo federal"
r134a,3,"outro lugar (farmácia privada/particular, drogaria)"
r134a,777,não sabe
r134a,888,não quis responder
d1,1,sim
d1,2,não
d1,777,não sabe
d1,888,não quis informar
r205,1,sim
r205,2,não
r205,777,não sabe
r205,888,não quis informar
r206,1,sim
r206,2,não
r206,777,não sabe
r206,888,não quis informar
r207,1,sim
r207,2,não
r207,777,não sabe
r207,888,não quis informar
r208,1,unidade de saude do SUS
r208,2,"outro lugar (farmácia privada/particular, drogaria)"
r208,777,não sabe
r208,888,não quis responder
r209,1,sim
r209,2,não
r209,777,não sabe
r176,1,menos de 6 meses
r176,2,entre 6 meses e 1 ano
r176,3,entre 1 e 2 anos
r176,4,entre 2 e 3 anos
r176,5,3 anos ou mais
r176,6,nunca fez
r176,777,nao sabe / nao lembra
q78,1,sim
q78,2,não
q78,777,não sabe/não lembra
q79,1,sim
q79,2,não
q79,777,não sabe
q79a,1,sim
q79a,2,não
q79a,777,não sabe
q80,1,menos de 1 ano
q80,2,entre 1 e 2 anos
q80,3,entre 2 e 3 anos
q80,4,entre 3 e 5 anos
q80,5,5 anos ou mais
q80,777,não lembra
q80,888,não quis informar
q81,1,sim
q81,2,não
q81,777,não sabe
q82,1,menos de 1 ano
q82,2,entre 1 e 2 anos
q82,3,entre 2 e 3 anos
q82,4,entre 3 e 5 anos
q82,5,5 ou mais anos
q82,777,não lembra
q83,1,sim
q83,2,não
q83,3,não fica exposto mais de 30 minutos
q83a,1,filtro solar
q83a,2,chapeu/sombrinha
q83a,3,ambos
q84_a,0,não
q84_a,1,filtro solar
q84_b,0,não
q84_b,2,chapéu/sombrinha
q84_c,0,não
q84_c,3,roupa/vestimenta
q85,1,sim
q85,2,não
q85,777,não sabe
q85a,1,sim
q85a,2,não
q85a,777,não sabe
q86,1,clube
q86,2,academia
q86,3,praça/rua/parque
q86,4,escola
q86,5,outros
q87,1,público
q87,2,privado
q89,1,sim
q89,2,não
q89,888,não quis informar
r501a,1,sim
r501a,2,não
r502a,1,sim
r502a,2,não
r503a,1,sim
r503a,2,não
r600,1,sim
r600,2,não
r601_(itens A a I),1,sim
r601_(itens A a I),2,não
r602,1,1 a 3
r602,2,3 a 6
r602,3,6 a 12
r602,4,>1 ano
r602,777,não sabe
r602,888,não quis informar
r603,1,"sim, muito"
r603,2,"sim, pouco"
r603,3,não
r604,1,sim
r604,2,não
r501,1,sim
r501,2,não
r502,1,sim
r502,2,não
r503,1,sim
r503,2,não
r504,1,1 dose
r504,2,2 doses
r504,3,3 doses
r504,4,4 doses
r505,1,coronavac / butantã / sinovac
r505,2,astrazeneca / oxford / fiocruz
r505,3,pfizer / biontech
r505,4,jansen / johnson&johnson
r505,5,outra
r505,90,não sabe / não quis responder
r505_ou,,
r506,1,grupo populacional ainda não foi chamado
r506,2,Falta de tempo ou de condição de deslocamento
r506,3,preocupação quanto às reações/ efeitos adversos
r506,4,Não teve interesse
r506,5,outros
r506,888,não quis informar
r506_ou,,
r701_hh,,
r701_mm,,
r702_hh,,
r702_mm,,
r703,1,nunca
r703,2,raramente
r703,3,às vezes
r703,4,quase sempre
r703,5,sempre
r704,1,nunca
r704,2,raramente
r704,3,às vezes
r704,4,quase sempre
r704,5,sempre
r705,1,nunca
r705,2,raramente
r705,3,às vezes
r705,4,quase sempre
r705,5,sempre
r706,1,sim
r706,2,não
r706,3,"não, porque faz tratamento para o ronco ou apneia"
r706,777,não sabe
r706,888,não quis informar
r707,1,sim
r707,2,não
r707,777,não sabe
r707,888,não quis informar
q88,1,"sim, apenas um"
q88,2,"sim, mais de um"
q88,3,não
q88,888,não quis informar
q69,1,branca
q69,2,preta
q69,3,amarela
q69,4,parda
q69,5,indígena
q69,80,outros
q69,777,não sabe
q69,888,não quis informar
q69_ou,,
civil,1,solteiro
civil,2,casado no civil ou no religioso
civil,3,tem união estável
civil,4,viúvo
civil,5,separado ou divorciado
civil,888,não quis informar
civil,2,não
civil,777,não lembra
civil,888,não quis responder
civil,2,não
civil,777,não lembra
civil,888,não quis responder
r154,1,sim
r154,3,recusou a fazer
r154,777,não lembra
r154,888,não quis informar
r154,2,não
r154,777,não lembra
r154,888,não quis responder
r154,2,rodovia
r154,3,ambos
r154,777,não lembra
r154,888,não quis responder
r153,1,sim
r153,777,não lembra
r153,888,não quis responder
r155,1,sim
r155,777,não lembra
r155,888,não quis responder
r156,1,sim
r156,777,não lembra
r156,888,não quis responder
r156,2,não
r156,777,não lembra
r156,888,não quis responder
r179,1,sim
r179,2,não
r179,777,não sabe
r179,888,não quis responder
r900,1,sim
r900,2,não
r900,777,não sabe
q70,1,sim
q70,2,não
q71,2,2 linhas
q71,3,3 linhas
q71,4,4 linhas
q71,5,5 linhas
q71,6,6 linhas
q71,7,7 linhas
q71,8,8 linhas
r801,1,sim
r801,2,não
r901,1,Próprio entrevistado
r901,2,Cônjuge ou companheiro(a)
r901,3,Filho(a)
r901,4,Enteado(a)
r901,5,Genro ou nora
r901,6,"Pai, mãe, padrasto ou madrasta"
r901,7,Sogro(a)
r901,8,Neto(a)/bisneto(a)
r901,9,Irmão(a)
r901,10,Avô ou avó
r901,11,Outro parente
r901,777,não sabe
r901,888,não quis informar
r902,1,menos de 2 anos
r902,2,entre 2 e 4 anos
r902,3,5 anos ou mais
r902,777,não sabe
d2,1,não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus
d2,2,porque não tinha dinheiro para comprar
d2,3,esqueceu/não quis tomar/comprar/buscar
d2,4,outro motivo
d2,777,não sabe
d2,888,não quis responder
d4,1,não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus
d4,2,porque não tinha dinheiro para comprar
d4,3,esqueceu/não quis tomar/comprar/buscar
d4,4,outro motivo
d4,777,não sabe
d4,888,não quis responder
d5,1,sim
d5,2,não
d5,777,não sabe
d5,888,não quis responder
d6,1,não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus
d6,2,porque não tinha dinheiro para comprar
d6,3,esqueceu/não quis tomar/comprar/buscar
d6,4,outro motivo
d6,777,não sabe
d6,888,não quis responder
moradores,,
adultos,,
pesorake2025,,
fet,1,18 a 24 anos
fet,2,25 a 34 anos
fet,3,35 a 44 anos
fet,4,45 a 54 anos
fet,5,55 a 64 anos
fet,6,65 anos e mais
cat_esc,,
fesc,1,0 a 8 anos
fesc,2,9 a 11 anos
fesc,3,12 anos e mais
fxesc,1,"0 a 7,9 anos"
fxesc,2,"8 a 10,9 anos"
fxesc,3,"11 a 14,9 anos"
fxesc,4,15 a 20 anos
q9_i,,
q11_i,,
r301,1,unidade	básica	de	saúde	(posto	ou	centr
r301,2,"centro de especialidades, policlínica p"
r301,3,upa (unidade de pronto atendimento)
r301,4,outro tipo de pronto atendimento públic o
r301,5,pronto-socorro ou emergência de hospita
r301,6,hospital público/ambulatório
r301,7,"no domicílio, com profissional da equip"
r301,8,consultório particular ou clínica priva
r301,9,ambulatório ou consultório de empresa o
r301,10,pronto-atendimento ou emergência (pront
r301,11,"no domicílio, com médico particular"
r301,12,farmácia
r301,13,outro serviço
r302,1,nenhuma vez (agradeça e encerre a entrevista – vá para página final de encerramento)
